model	rmsd_full	rmsd_framework	rmsd_h1	rmsd_h2	rmsd_h3	rmsd_l1	rmsd_l2	rmsd_l3	pdb
7kf0_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_003	1.212	0.571	0.868	0.888	1.264	3.89	0.526	0.718	7kf0
7kf0_unrelaxed_rank_021_alphafold2_multimer_v3_model_2_seed_000	2.045	0.545	0.571	0.759	1.314	7.157	0.382	0.567	7kf0
7kf0_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_001	1.236	0.656	0.409	0.676	1.38	4.02	0.385	0.514	7kf0
7kf0_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_004	2.062	0.538	0.569	0.789	1.206	7.209	0.339	0.559	7kf0
7kf0_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_003	1.325	0.521	0.494	0.709	1.37	4.35	0.375	0.482	7kf0
7kf0_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_001	1.231	0.526	0.683	0.813	1.504	3.966	0.484	0.591	7kf0
7kf0_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_000	1.223	0.5	0.587	0.694	1.652	3.965	0.315	0.604	7kf0
7kf0_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_002	1.233	0.669	0.649	0.809	1.228	3.978	0.445	0.624	7kf0
7kf0_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_002	1.234	0.539	0.639	0.747	1.438	3.952	0.317	0.538	7kf0
7kf0_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_004	1.237	0.515	0.624	0.685	1.348	4.012	0.41	0.503	7kf0
7kf0_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	1.209	0.511	0.66	0.755	1.219	3.984	0.492	0.632	7kf0
7kf0_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_001	1.239	0.544	0.749	0.894	1.291	4.014	0.487	0.723	7kf0
7kf0_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_003	1.22	0.547	0.674	0.825	1.231	3.939	0.502	0.662	7kf0
7kf0_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_000	1.246	0.553	0.751	0.855	1.285	4.12	0.47	0.673	7kf0
7kf0_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_004	1.426	0.523	0.693	0.9	1.187	4.793	0.389	0.77	7kf0
7kf0_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_003	1.27	0.504	0.488	0.625	1.786	4.164	0.234	0.602	7kf0
7kf1_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_004	1.816	0.933	0.976	1.251	2.488	6.083	0.679	1.694	7kf1
7kf1_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_004	1.293	0.935	1.127	1.255	2.779	3.959	0.719	1.693	7kf1
7kf1_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_000	1.367	0.919	0.983	1.247	2.502	4.197	0.616	1.674	7kf1
7kf1_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_003	1.383	0.745	1.006	1.076	2.409	4.387	0.539	1.667	7kf1
7kf1_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_002	1.768	0.637	0.659	0.652	4.155	6.062	0.229	1.245	7kf1
7kf1_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_000	1.474	0.801	0.907	1.098	2.013	4.729	0.591	1.662	7kf1
7kf1_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_001	1.348	0.9	1.07	1.185	2.568	4.199	0.657	1.722	7kf1
7kf1_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_002	1.386	0.742	0.982	1.082	2.168	4.402	0.498	1.642	7kf1
7kf1_unrelaxed_rank_018_alphafold2_multimer_v3_model_4_seed_004	1.43	0.815	1.113	1.316	2.346	4.551	0.637	1.79	7kf1
7kf1_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001	1.293	0.946	1.198	1.343	2.826	3.927	0.753	1.724	7kf1
7kf1_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_001	1.384	0.857	0.768	0.869	4.295	4.335	0.472	1.36	7kf1
7kf1_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_000	1.346	0.899	1.03	1.169	2.518	4.199	0.577	1.666	7kf1
7kf1_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_001	1.274	0.902	1.279	1.413	2.755	3.892	0.787	1.834	7kf1
7kf1_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_002	1.327	0.924	1.216	1.343	2.545	4.158	0.723	1.878	7kf1
7kf1_unrelaxed_rank_024_alphafold2_multimer_v3_model_2_seed_002	1.411	0.737	0.822	0.904	4.28	4.434	0.518	1.36	7kf1
7kf1_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_003	1.317	0.911	1.153	1.26	2.444	4.033	0.662	1.677	7kf1
7kf1_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_000	1.307	0.955	1.261	1.396	3.092	4.057	0.794	1.874	7kf1
7kf1_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_004	1.368	0.79	0.804	0.984	2.155	4.353	0.513	1.657	7kf1
7kf1_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_003	1.347	0.932	1.275	1.366	2.787	4.264	0.778	1.89	7kf1
7kf1_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_004	1.33	0.938	1.09	1.226	3.014	4.14	0.659	1.698	7kf1
7kf1_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000	1.308	0.92	1.161	1.344	2.646	4.01	0.714	1.698	7kf1
7kf1_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_002	1.329	0.854	1.119	1.285	2.124	4.146	0.667	1.723	7kf1
7kf1_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_003	2.227	0.923	0.967	1.207	2.603	7.686	0.606	1.642	7kf1
7kf1_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_001	1.439	0.656	0.666	0.702	4.273	4.692	0.348	1.415	7kf1
7kf1_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_003	1.36	0.727	0.9	1.037	2.233	4.341	0.515	1.529	7kf1
7kql_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_001	0.758	0.629	0.961	1.852	1.129	2.136	0.545	0.99	7kql
7kql_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_002	0.767	0.648	1.407	1.794	3.187	2.174	0.585	0.623	7kql
7kql_unrelaxed_rank_024_alphafold2_multimer_v3_model_5_seed_004	0.549	0.606	0.939	1.718	1.827	0.703	0.506	0.903	7kql
7kql_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_001	0.763	0.63	1.349	1.699	3.038	2.151	0.518	0.569	7kql
7kql_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_004	0.76	0.601	0.902	1.424	2.431	2.119	0.503	0.516	7kql
7kql_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_000	0.544	0.608	0.954	1.487	1.505	0.613	0.44	0.569	7kql
7kql_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_002	0.723	0.668	1.083	1.69	2.909	2.175	0.624	0.594	7kql
7kql_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_004	0.705	0.656	1.028	1.727	2.348	2.069	0.673	0.551	7kql
7kql_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_002	0.545	0.589	1.022	1.617	3.168	0.606	0.452	0.641	7kql
7kql_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_001	0.742	0.638	1.055	1.555	2.133	2.048	0.556	0.79	7kql
7kql_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_003	0.716	0.613	1.051	1.603	2.102	2.062	0.571	0.509	7kql
7kql_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_000	0.753	0.63	0.94	1.814	1.394	2.11	0.581	1.03	7kql
7kql_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_000	0.762	0.674	1.361	1.709	2.274	2.139	0.519	0.626	7kql
7kql_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_002	0.741	0.599	0.925	1.769	1.552	2.167	0.569	0.887	7kql
7kql_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_001	0.574	0.65	0.96	1.61	2.425	0.871	0.428	0.657	7kql
7kql_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_003	0.762	0.671	1.021	1.314	2.119	2.066	0.461	0.531	7kql
7kql_unrelaxed_rank_013_alphafold2_multimer_v3_model_1_seed_004	0.656	0.589	1.021	1.372	2.058	1.46	0.498	0.569	7kql
7kql_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_003	0.576	0.63	1.062	1.395	2.148	0.597	0.481	0.81	7kql
7kql_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_000	0.746	0.622	0.926	1.645	1.688	2.107	0.567	1.004	7kql
7kql_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_004	0.55	0.586	0.995	1.526	1.458	0.589	0.382	0.529	7kql
7kql_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000	0.737	0.644	1.106	1.481	2.053	2.06	0.594	0.836	7kql
7kql_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_003	0.595	0.602	0.876	1.804	1.411	0.937	0.492	0.671	7kql
7kql_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_003	0.615	0.607	1.027	1.565	2.257	0.612	0.401	1.231	7kql
7kql_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_001	0.715	0.635	1.501	1.676	2.01	2.096	0.615	0.571	7kql
7kql_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_002	0.766	0.645	1.022	1.652	1.656	2.09	0.609	1.171	7kql
7l7r_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_000	0.35	0.568	0.51	0.924	0.576	0.572	0.503	0.534	7l7r
7l7r_unrelaxed_rank_013_alphafold2_multimer_v3_model_1_seed_004	0.351	0.642	0.343	0.948	0.609	0.667	0.63	0.778	7l7r
7l7r_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_004	0.362	0.619	0.492	0.919	0.643	0.553	0.577	0.532	7l7r
7l7r_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_000	0.352	0.641	0.68	1.019	0.589	0.663	0.625	0.556	7l7r
7l7r_unrelaxed_rank_006_alphafold2_multimer_v3_model_3_seed_004	0.366	0.554	0.367	0.893	0.685	0.466	0.451	0.46	7l7r
7l7r_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_003	0.354	0.541	0.314	0.868	0.649	0.446	0.418	0.465	7l7r
7l7r_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_004	0.346	0.64	0.442	0.988	0.535	0.606	0.622	0.543	7l7r
7l7r_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_002	0.38	0.592	0.475	0.944	0.627	0.474	0.5	0.491	7l7r
7l7r_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_001	0.36	0.608	0.446	0.908	0.654	0.529	0.522	0.543	7l7r
7l7r_unrelaxed_rank_010_alphafold2_multimer_v3_model_1_seed_001	0.348	0.686	0.326	0.986	0.576	0.669	0.631	0.778	7l7r
7l7r_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_002	0.348	0.633	0.442	1.021	0.572	0.594	0.609	0.535	7l7r
7l7r_unrelaxed_rank_021_alphafold2_multimer_v3_model_1_seed_002	0.34	0.645	0.524	0.998	0.544	0.61	0.626	0.545	7l7r
7l7r_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_000	0.349	0.601	0.596	0.986	0.611	0.583	0.568	0.555	7l7r
7l7r_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_004	0.349	0.58	0.578	0.954	0.6	0.616	0.57	0.577	7l7r
7l7r_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_003	0.363	0.627	0.497	0.918	0.7	0.537	0.517	0.551	7l7r
7l7r_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_001	0.341	0.579	0.607	0.963	0.578	0.634	0.547	0.576	7l7r
7l7r_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_003	0.352	0.589	0.578	0.949	0.588	0.575	0.534	0.562	7l7r
7l7r_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000	0.351	0.626	0.343	0.957	0.616	0.62	0.547	0.668	7l7r
7l7r_unrelaxed_rank_018_alphafold2_multimer_v3_model_1_seed_003	0.354	0.656	0.283	0.914	0.682	0.543	0.539	0.619	7l7r
7l7r_unrelaxed_rank_024_alphafold2_multimer_v3_model_2_seed_003	0.338	0.639	0.386	0.948	0.553	0.572	0.587	0.572	7l7r
7l7r_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_001	0.352	0.609	0.592	0.979	0.608	0.589	0.565	0.582	7l7r
7l7r_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_000	0.343	0.64	0.446	1.0	0.533	0.605	0.618	0.534	7l7r
7l7r_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_001	0.353	0.637	0.455	0.956	0.678	0.627	0.542	0.713	7l7r
7l7r_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_002	0.347	0.569	0.583	0.967	0.586	0.615	0.555	0.61	7l7r
7l7r_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_002	0.357	0.555	0.437	0.944	0.614	0.507	0.481	0.529	7l7r
7lr3_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_004	0.603	0.793	0.537	1.082	1.027	1.013	1.166	0.798	7lr3
7lr3_unrelaxed_rank_010_alphafold2_multimer_v3_model_3_seed_004	0.612	0.777	0.462	0.967	1.398	0.556	1.168	0.854	7lr3
7lr3_unrelaxed_rank_017_alphafold2_multimer_v3_model_1_seed_003	0.569	0.895	0.548	0.966	1.21	0.543	1.173	0.836	7lr3
7lr3_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_004	0.652	0.81	0.467	0.994	1.206	1.046	1.208	0.848	7lr3
7lr3_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000	0.589	0.847	0.537	1.027	1.206	0.96	1.197	0.879	7lr3
7lr3_unrelaxed_rank_024_alphafold2_multimer_v3_model_2_seed_002	0.591	0.822	0.511	1.03	1.233	1.031	1.15	0.832	7lr3
7lr3_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_000	0.648	0.829	0.431	1.026	1.124	1.032	1.23	0.831	7lr3
7lr3_unrelaxed_rank_021_alphafold2_multimer_v3_model_2_seed_003	0.596	0.863	0.53	1.061	1.15	1.028	1.159	0.813	7lr3
7lr3_unrelaxed_rank_015_alphafold2_multimer_v3_model_4_seed_003	0.614	0.805	0.444	0.984	1.1	1.023	1.226	0.831	7lr3
7lr3_unrelaxed_rank_013_alphafold2_multimer_v3_model_3_seed_002	0.617	0.806	0.502	0.967	1.212	0.664	1.193	0.847	7lr3
7lr3_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_001	0.644	0.833	0.453	0.94	1.238	1.066	1.221	0.822	7lr3
7lr3_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_001	0.634	0.833	0.47	1.013	1.224	0.957	1.154	0.817	7lr3
7lr3_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_001	0.648	0.827	0.427	1.001	1.126	1.02	1.24	0.792	7lr3
7lr3_unrelaxed_rank_014_alphafold2_multimer_v3_model_1_seed_002	0.554	0.838	0.519	0.98	1.27	0.598	1.169	0.831	7lr3
7lr3_unrelaxed_rank_016_alphafold2_multimer_v3_model_4_seed_004	0.606	0.777	0.387	0.943	1.23	0.965	1.192	0.822	7lr3
7lr3_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_004	0.605	0.826	0.523	0.965	1.224	0.941	1.187	0.866	7lr3
7lr3_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_003	0.625	0.815	0.486	0.99	1.204	1.079	1.213	0.816	7lr3
7lr3_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_000	0.593	0.831	0.508	1.061	1.207	1.006	1.148	0.831	7lr3
7lr3_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_001	0.568	0.847	0.489	0.958	1.29	0.565	1.172	0.845	7lr3
7lr3_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_000	0.656	0.826	0.483	0.997	1.16	1.067	1.215	0.822	7lr3
7lr3_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_001	0.601	0.799	0.478	0.962	1.248	0.612	1.233	0.855	7lr3
7lr3_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_002	0.653	0.83	0.497	0.954	1.188	1.105	1.228	0.809	7lr3
7lr3_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_003	0.606	0.8	0.5	1.001	1.257	0.636	1.205	0.879	7lr3
7lr3_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_000	0.622	0.804	0.489	0.993	1.241	0.612	1.198	0.897	7lr3
7lr3_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_002	0.618	0.827	0.443	1.043	1.168	1.041	1.236	0.827	7lr3
7lr4_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_002	0.605	0.985	2.562	1.26	2.689	0.951	0.251	0.784	7lr4
7lr4_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_002	0.585	0.95	2.019	1.233	2.585	0.948	0.226	0.769	7lr4
7lr4_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_002	0.574	0.954	1.954	1.141	2.932	0.936	0.241	0.742	7lr4
7lr4_unrelaxed_rank_024_alphafold2_multimer_v3_model_4_seed_001	7.076	9.08	2.377	2.417	8.462	2.942	1.547	9.695	7lr4
7lr4_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_001	0.541	0.992	1.848	1.083	2.948	0.611	0.292	0.872	7lr4
7lr4_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_000	0.562	0.931	1.689	1.168	2.966	0.788	0.242	0.784	7lr4
7lr4_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_004	0.559	0.924	1.666	1.251	3.006	0.915	0.24	0.735	7lr4
7lr4_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_003	0.565	0.93	1.802	1.243	3.026	0.927	0.245	0.768	7lr4
7lr4_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_002	0.58	0.99	1.667	1.089	2.939	0.905	0.254	0.772	7lr4
7lr4_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_003	0.504	0.903	1.584	1.209	2.788	0.613	0.216	0.744	7lr4
7lr4_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_003	0.586	0.927	1.87	1.204	2.614	0.963	0.202	0.844	7lr4
7lr4_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_000	0.549	0.994	2.07	1.057	2.842	0.539	0.279	0.829	7lr4
7lr4_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_003	0.587	0.897	2.088	1.22	2.853	0.99	0.249	0.795	7lr4
7lr4_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_004	0.532	0.888	1.84	1.243	2.803	0.909	0.187	0.717	7lr4
7lr4_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_001	0.57	0.935	2.194	1.177	2.813	0.967	0.19	0.87	7lr4
7lr4_unrelaxed_rank_014_alphafold2_multimer_v3_model_2_seed_004	0.571	0.922	1.93	1.226	2.57	0.947	0.212	0.771	7lr4
7lr4_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	0.538	0.907	1.785	1.22	2.821	0.553	0.2	0.744	7lr4
7lr4_unrelaxed_rank_025_alphafold2_multimer_v3_model_5_seed_001	8.1	9.806	2.233	1.854	8.732	2.258	1.202	9.665	7lr4
7lr4_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_002	0.548	0.948	2.287	1.361	2.708	0.606	0.23	0.746	7lr4
7lr4_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_003	0.573	0.921	1.956	1.279	2.784	0.892	0.258	0.773	7lr4
7lr4_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000	0.596	0.957	2.875	1.255	2.564	0.955	0.209	0.787	7lr4
7lr4_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_004	0.547	0.959	2.236	1.258	2.795	0.55	0.237	0.726	7lr4
7lr4_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_004	0.582	0.893	2.187	1.016	3.09	0.966	0.24	0.813	7lr4
7lr4_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_001	0.507	0.892	1.773	1.223	2.88	0.587	0.194	0.812	7lr4
7lr4_unrelaxed_rank_023_alphafold2_multimer_v3_model_4_seed_000	7.044	9.065	2.632	2.417	8.37	2.815	1.728	9.972	7lr4
7mdj_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_000	0.628	0.789	2.609	0.691	0.863	0.824	0.66	0.871	7mdj
7mdj_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_001	0.63	0.81	2.548	0.627	0.857	0.707	0.601	0.593	7mdj
7mdj_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_002	0.59	0.769	2.582	0.67	0.841	0.729	0.581	0.676	7mdj
7mdj_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_003	0.621	0.78	2.58	0.555	0.855	0.823	0.633	0.751	7mdj
7mdj_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_002	0.635	0.806	2.56	0.668	0.879	0.722	0.614	0.646	7mdj
7mdj_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_002	0.617	0.783	2.588	0.567	0.852	0.861	0.624	0.728	7mdj
7mdj_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_002	0.63	0.775	2.588	0.591	0.79	0.732	0.593	0.634	7mdj
7mdj_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_000	0.644	0.797	2.556	0.601	0.876	0.814	0.634	0.75	7mdj
7mdj_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_000	0.642	0.902	2.504	0.629	0.854	0.669	0.626	0.633	7mdj
7mdj_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_003	0.624	0.793	2.543	0.652	0.842	0.689	0.581	0.666	7mdj
7mdj_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_003	0.636	0.769	2.55	0.568	0.789	0.685	0.565	0.629	7mdj
7mdj_unrelaxed_rank_016_alphafold2_multimer_v3_model_4_seed_003	0.6	0.757	2.619	0.615	0.727	0.712	0.633	0.79	7mdj
7mdj_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_004	0.642	0.9	2.558	0.644	0.88	0.724	0.639	0.65	7mdj
7mdj_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_004	0.649	0.901	2.523	0.651	0.859	0.706	0.636	0.685	7mdj
7mdj_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_003	0.634	0.867	2.535	0.594	0.826	0.712	0.631	0.635	7mdj
7mdj_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_004	0.617	0.791	2.613	0.688	0.858	0.835	0.64	0.815	7mdj
7mdj_unrelaxed_rank_025_alphafold2_multimer_v3_model_4_seed_002	7.576	9.335	2.493	0.858	9.22	1.631	0.62	9.578	7mdj
7mdj_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_004	0.649	0.806	2.586	0.612	0.905	0.861	0.639	0.825	7mdj
7mdj_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_004	0.634	0.769	2.582	0.619	0.886	0.789	0.586	0.687	7mdj
7mdj_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000	0.637	0.896	2.532	0.637	0.858	0.642	0.623	0.606	7mdj
7mdj_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001	0.609	0.883	2.556	0.642	0.844	0.715	0.635	0.644	7mdj
7mdj_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_001	0.59	0.762	2.595	0.663	0.813	0.769	0.649	0.782	7mdj
7mdj_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_000	0.647	0.777	2.542	0.638	0.834	0.736	0.601	0.678	7mdj
7mdj_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_001	0.617	0.794	2.589	0.57	0.856	0.844	0.632	0.752	7mdj
7mdj_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_001	0.622	0.769	2.561	0.58	0.809	0.725	0.579	0.644	7mdj
7mrz_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_001	0.623	0.695	2.899	0.797	0.595	1.235	0.691	1.196	7mrz
7mrz_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000	0.627	0.768	3.06	0.771	0.577	1.182	0.67	1.119	7mrz
7mrz_unrelaxed_rank_023_alphafold2_multimer_v3_model_5_seed_002	0.629	0.683	2.968	0.721	0.604	1.122	0.565	1.15	7mrz
7mrz_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_004	0.751	0.699	2.963	0.815	0.611	1.324	0.617	1.76	7mrz
7mrz_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_002	0.642	0.703	2.242	0.796	0.631	1.249	0.611	1.088	7mrz
7mrz_unrelaxed_rank_012_alphafold2_multimer_v3_model_2_seed_004	0.762	0.762	2.924	0.866	0.634	1.402	0.653	1.745	7mrz
7mrz_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_003	0.643	0.788	2.957	0.78	0.573	1.271	0.689	1.15	7mrz
7mrz_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_001	0.622	0.729	2.897	0.849	0.589	1.14	0.694	1.157	7mrz
7mrz_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_003	0.621	0.675	3.01	0.664	0.594	0.986	0.516	1.011	7mrz
7mrz_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_002	0.628	0.684	2.926	0.733	0.58	1.312	0.662	1.166	7mrz
7mrz_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_004	0.625	0.663	3.004	0.721	0.573	0.964	0.488	1.077	7mrz
7mrz_unrelaxed_rank_013_alphafold2_multimer_v3_model_1_seed_002	0.64	0.716	3.016	0.771	0.577	1.172	0.635	1.051	7mrz
7mrz_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_000	0.628	0.694	2.988	0.714	0.584	1.225	0.651	1.204	7mrz
7mrz_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_004	0.766	0.695	2.929	0.904	0.675	1.581	0.711	1.834	7mrz
7mrz_unrelaxed_rank_014_alphafold2_multimer_v3_model_2_seed_000	0.676	0.788	3.002	0.801	0.6	1.244	0.647	1.373	7mrz
7mrz_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_001	0.621	0.684	2.925	0.725	0.583	1.066	0.583	1.159	7mrz
7mrz_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_000	0.697	0.704	2.953	0.801	0.626	1.206	0.638	1.618	7mrz
