model	rmsd_full	rmsd_framework	rmsd_h1	rmsd_h2	rmsd_h3	rmsd_l1	rmsd_l2	rmsd_l3
7f7e_98_4	1.558	1.378	0.594	1.393	3.091	2.167	0.536	2.086
7f7e_46_2	1.568	1.308	0.392	1.053	2.386	1.914	0.363	2.108
7f7e_52_3	1.583	1.320	0.361	0.838	2.895	1.744	0.241	2.227
7f7e_52_4	1.587	1.356	0.541	0.976	3.138	1.809	0.265	2.195
7f7e_63_0	1.543	1.291	0.494	1.402	2.911	2.124	0.551	1.941
7f7e_13_2	1.569	1.293	0.481	0.968	1.823	2.020	0.451	2.095
7f7e_39_1	1.608	1.322	0.371	1.161	2.727	1.909	0.410	2.349
7f7e_18_1	1.621	1.313	0.712	1.147	2.036	2.186	0.769	2.255
7f7e_54_0	1.538	1.322	0.584	1.468	3.005	2.181	0.613	2.065
7f7e_66_2	1.549	1.288	0.438	1.363	2.822	1.924	0.352	1.970
7f7e_28_2	1.639	1.382	0.620	1.449	2.979	2.184	0.699	2.359
7f7e_75_0	1.581	1.280	0.296	0.785	3.126	1.805	0.295	2.160
7f7e_97_2	1.544	1.288	0.494	1.180	1.487	1.966	0.362	1.962
7f7e_37_0	1.544	1.261	0.428	1.311	2.871	2.149	0.595	2.033
7f7e_63_4	1.594	1.317	0.380	1.162	2.552	1.882	0.429	1.808
7f7e_63_3	1.538	1.325	0.460	1.282	2.866	2.053	0.554	1.758
7f7e_18_2	1.580	1.342	0.571	1.558	3.092	2.016	0.486	2.186
7f7e_13_1	1.600	1.350	0.492	1.198	2.647	1.994	0.409	2.046
7f7e_39_2	1.540	1.273	0.436	1.158	2.928	2.066	0.546	2.170
7f7e_54_4	1.546	1.311	0.545	1.363	2.823	2.305	0.731	2.005
7f7e_28_1	1.529	1.286	0.493	1.376	2.753	2.140	0.545	1.836
7f7e_75_3	1.580	1.345	0.665	1.059	3.129	1.759	0.205	2.236
7f7e_75_4	1.656	1.418	0.637	1.031	3.024	1.663	0.293	2.266
7f7e_54_3	1.532	1.319	0.589	1.617	2.935	2.275	0.692	2.031
7f7e_66_1	1.543	1.419	0.584	1.377	2.926	2.263	0.666	1.877
7f7e_97_1	1.574	1.295	0.448	0.881	2.766	1.964	0.471	1.985
7f7e_37_3	1.584	1.431	0.617	1.291	2.992	2.237	0.650	1.961
7f7e_37_4	1.647	1.375	0.478	0.842	2.431	1.963	0.491	2.103
7f7e_6_0	1.610	1.444	0.790	1.726	3.279	2.245	0.633	2.254
7f7e_34_2	1.565	1.330	0.566	1.269	1.324	2.176	0.515	2.075
7f7e_62_4	1.546	1.283	0.340	1.082	2.858	2.038	0.633	2.243
7f7e_62_3	1.611	1.306	0.418	1.264	2.746	2.074	0.552	2.088
7f7e_50_1	1.552	1.296	0.569	1.040	5.453	2.164	0.782	1.995
7f7e_33_1	1.772	1.431	0.527	1.083	2.421	1.902	0.526	2.483
7f7e_98_0	1.611	1.340	0.512	1.333	2.991	1.966	0.479	2.331
7f7e_65_0	1.565	1.302	0.321	0.991	1.429	1.912	0.499	1.945
7f7e_80_1	1.602	1.350	0.518	1.511	2.888	2.106	0.450	2.259
7f7e_46_1	1.582	1.349	0.356	1.087	2.435	1.943	0.436	2.054
7f7e_52_0	1.638	1.353	0.459	0.942	3.042	1.724	0.245	2.334
7f7e_97_0	1.584	1.357	0.757	1.480	2.822	2.184	0.558	2.125
7f7e_37_2	1.601	1.318	0.495	0.976	3.033	1.961	0.416	2.260
7f7e_54_2	1.554	1.367	0.709	1.415	3.046	2.159	0.595	2.150
7f7e_66_0	1.537	1.327	0.592	1.471	2.974	2.142	0.643	2.125
7f7e_28_0	1.576	1.296	0.286	1.087	2.840	1.875	0.343	2.046
7f7e_75_2	1.594	1.430	0.679	0.940	3.115	1.660	0.256	2.266
7f7e_18_4	1.592	1.366	0.713	1.594	3.064	2.097	0.526	2.698
7f7e_13_0	1.631	1.301	0.398	0.883	1.704	1.945	0.467	2.413
7f7e_39_3	1.579	1.333	0.481	1.240	2.776	2.015	0.431	2.134
7f7e_39_4	1.627	1.357	0.536	1.401	2.838	2.035	0.478	2.282
7f7e_18_3	1.552	1.319	0.708	1.489	3.221	2.217	0.657	2.184
7f7e_63_2	1.591	1.383	0.753	1.364	2.879	2.130	0.531	2.269
7f7e_52_1	1.584	1.355	0.525	0.929	3.025	1.713	0.245	2.221
7f7e_46_0	1.579	1.312	0.394	0.969	2.391	1.926	0.414	2.109
7f7e_65_1	1.549	1.288	0.559	1.036	2.884	2.114	0.590	1.888
7f7e_98_1	1.539	1.272	0.442	1.255	2.832	1.902	0.346	2.289
7f7e_80_0	1.618	1.409	0.854	1.729	2.979	2.295	0.730	2.183
7f7e_33_0	1.562	1.303	0.583	1.103	2.738	2.144	0.641	2.052
7f7e_34_4	1.582	1.302	0.472	1.264	1.266	1.900	0.347	2.092
7f7e_62_2	1.569	1.324	0.417	1.215	2.957	2.024	0.565	1.970
7f7e_50_0	1.572	1.309	0.397	1.277	2.748	2.058	0.516	1.997
7f7e_6_1	1.559	1.420	0.479	1.206	2.967	1.967	0.412	2.096
7f7e_34_3	1.602	1.316	0.376	0.824	1.033	1.667	0.325	2.164
7kql_63_2	0.613	0.733	1.213	1.877	4.889	0.801	0.465	0.682
7kql_18_4	0.579	0.704	1.227	1.888	5.232	0.794	0.485	0.600
7kql_13_0	0.730	0.636	1.120	1.841	3.535	2.205	0.612	0.527
7kql_6_1	0.588	0.617	1.022	1.572	2.351	0.604	0.385	0.508
7kql_39_3	0.528	0.549	0.995	1.921	4.654	0.551	0.269	0.416
7kql_39_4	0.551	0.695	1.286	1.868	4.872	0.839	0.527	0.694
7kql_18_3	0.562	0.634	1.335	1.486	4.661	0.829	0.448	0.505
7kql_54_2	0.550	0.780	1.462	1.844	3.487	1.146	0.738	0.734
7kql_66_0	0.646	0.473	1.257	1.491	3.139	2.217	0.394	0.368
7kql_75_2	0.575	0.740	1.141	1.800	4.657	0.719	0.476	0.472
7kql_28_0	0.613	0.848	1.343	2.139	4.516	1.258	0.719	0.898
7kql_37_2	0.593	0.754	1.336	1.716	2.636	1.127	0.639	0.742
7kql_97_0	0.554	0.648	1.206	2.043	2.761	0.833	0.428	0.619
7kql_62_2	0.573	0.641	1.149	1.464	4.656	0.867	0.460	0.466
7kql_50_0	0.758	0.648	1.171	1.621	4.076	2.166	0.685	0.480
7kql_34_4	0.736	0.766	1.243	2.037	3.632	2.161	0.716	0.793
7kql_34_3	0.550	0.667	1.193	1.776	3.273	0.919	0.474	0.537
7kql_65_1	0.544	0.616	0.979	1.861	3.342	0.643	0.346	0.412
7kql_98_1	0.588	0.599	1.062	1.659	3.066	0.587	0.303	0.464
7kql_80_0	0.592	0.623	1.257	1.672	4.760	0.646	0.377	0.456
7kql_33_0	0.541	0.694	1.289	2.040	3.706	0.980	0.501	0.773
7kql_46_0	0.601	0.769	1.335	1.860	3.455	1.007	0.598	0.728
7kql_52_1	0.574	0.764	1.222	1.851	3.385	1.110	0.666	0.818
7kql_37_3	0.565	0.661	1.267	1.592	4.708	0.860	0.432	0.607
7kql_97_1	0.421	0.608	1.373	1.999	4.480	0.872	0.399	0.607
7kql_37_4	0.573	0.629	1.122	1.649	4.836	0.741	0.440	0.521
7kql_54_4	0.507	0.678	1.308	1.346	4.287	0.727	0.379	0.442
7kql_75_3	0.599	0.650	1.079	1.457	4.759	0.750	0.397	0.487
7kql_28_1	0.581	0.644	1.156	1.824	4.488	0.687	0.404	0.459
7kql_75_4	0.599	0.624	1.058	2.000	4.365	0.734	0.387	0.490
7kql_54_3	0.566	0.682	1.325	2.243	4.803	0.882	0.482	0.588
7kql_66_1	0.587	0.610	1.103	1.735	5.238	0.591	0.445	0.546
7kql_18_2	0.553	0.689	1.269	1.495	4.715	0.852	0.442	0.710
7kql_13_1	0.535	0.634	1.251	1.522	4.424	0.892	0.439	0.879
7kql_6_0	0.743	0.630	1.233	1.482	4.514	2.204	0.492	0.530
7kql_39_2	0.516	0.604	1.049	1.551	3.927	0.755	0.425	0.546
7kql_63_4	0.541	0.630	1.302	1.770	4.694	0.799	0.386	0.517
7kql_63_3	0.488	0.631	1.309	1.676	4.340	0.892	0.538	0.599
7kql_52_0	0.561	0.660	1.005	1.869	3.261	0.593	0.256	0.521
7kql_46_1	0.549	0.616	1.032	1.762	3.227	0.870	0.385	0.539
7kql_33_1	0.573	0.626	1.118	1.661	4.460	0.690	0.380	0.534
7kql_98_0	0.531	0.623	1.064	1.791	3.315	0.756	0.408	0.515
7kql_65_0	0.575	0.671	1.439	1.609	3.265	0.784	0.450	0.563
7kql_80_1	0.576	0.684	1.237	1.836	4.492	0.888	0.488	0.680
7kql_62_4	0.746	0.671	1.136	1.678	4.468	2.091	0.671	0.582
7kql_34_2	0.587	0.651	1.111	1.942	3.424	0.745	0.409	0.596
7kql_62_3	0.531	0.633	1.347	1.789	4.009	0.912	0.425	0.654
7kql_50_1	0.609	0.748	1.110	1.825	4.786	0.895	0.559	0.461
7kql_52_3	0.490	0.611	1.054	1.816	4.155	0.807	0.477	0.474
7kql_52_4	0.538	0.708	1.439	1.607	3.967	0.949	0.566	0.698
7kql_46_2	0.484	0.651	1.166	1.927	3.274	0.897	0.457	0.697
7kql_65_3	0.567	0.678	1.140	1.966	3.315	0.814	0.465	0.533
7kql_98_3	0.564	0.783	1.270	1.938	3.375	0.879	0.456	0.614
7kql_80_2	0.547	0.636	1.403	1.607	4.173	0.750	0.504	0.422
7kql_65_4	0.520	0.607	1.153	1.923	3.434	0.730	0.390	0.569
7kql_98_4	0.585	0.621	1.107	1.847	3.270	0.676	0.353	0.444
7kql_33_2	0.607	0.700	1.291	1.901	3.122	0.836	0.522	0.555
7kql_62_0	0.544	0.603	1.091	1.757	3.838	0.692	0.435	0.454
7kql_50_2	0.487	0.636	1.236	1.987	3.601	0.850	0.435	0.612
7kql_34_1	0.501	0.720	1.282	1.975	3.546	0.892	0.461	0.598
7kql_37_0	0.458	0.605	1.263	1.562	4.451	0.817	0.437	0.534
7kql_97_2	0.410	0.432	0.982	1.781	3.754	0.656	0.304	0.451
7kql_54_0	0.571	0.706	1.269	1.831	4.345	0.923	0.618	0.630
7kql_66_2	0.608	0.728	1.308	1.983	4.761	0.849	0.514	0.573
7kql_75_0	0.557	0.607	1.282	1.716	3.483	0.760	0.426	0.487
7kql_28_2	0.570	0.619	1.208	1.594	3.134	0.819	0.413	0.578
7kql_13_2	0.510	0.645	1.178	1.682	4.644	0.814	0.523	0.511
7kql_6_3	0.549	0.647	1.204	1.440	4.852	0.908	0.514	0.440
7kql_39_1	0.533	0.616	1.186	1.490	4.347	0.708	0.460	0.466
7kql_18_1	0.483	0.564	1.149	1.262	4.525	0.671	0.425	0.396
7kql_6_4	0.576	0.673	1.301	1.636	4.307	0.865	0.553	0.551
7kql_63_0	0.444	0.558	1.095	1.729	5.215	0.734	0.425	0.590
7kql_50_4	0.568	0.593	1.054	1.838	3.945	0.707	0.356	0.439
7kql_34_0	0.602	0.666	1.148	1.868	3.387	0.740	0.381	0.555
7kql_62_1	0.729	0.616	1.004	1.747	4.464	2.231	0.543	0.583
7kql_50_3	0.601	0.660	1.136	1.530	4.574	0.728	0.480	0.461
7kql_80_4	0.513	0.647	1.186	1.013	4.018	0.841	0.418	0.526
7kql_33_3	0.491	0.606	1.084	1.770	4.416	0.774	0.370	0.637
7kql_98_2	0.577	0.724	1.273	1.808	3.336	0.896	0.492	0.718
7kql_65_2	0.582	0.591	1.104	1.831	3.308	0.675	0.271	0.438
7kql_33_4	0.281	0.564	1.240	1.789	3.924	0.690	0.429	0.339
7kql_80_3	0.537	0.664	1.319	1.957	3.763	0.876	0.478	0.546
7kql_46_3	0.715	0.699	1.286	2.098	3.665	2.097	0.651	0.413
7kql_46_4	0.586	0.685	1.098	1.934	3.301	0.841	0.438	0.550
7kql_52_2	0.540	0.621	1.127	1.703	4.101	0.664	0.506	0.507
7kql_63_1	0.334	0.569	1.151	1.878	4.982	0.865	0.420	0.656
7kql_18_0	0.583	0.690	1.247	1.758	3.617	0.769	0.439	0.606
7kql_13_4	0.526	0.568	1.008	1.635	3.984	0.679	0.408	0.440
7kql_13_3	0.508	0.665	1.055	1.333	4.099	0.722	0.442	0.520
7kql_6_2	0.733	0.585	1.094	1.627	4.398	2.075	0.490	0.401
7kql_39_0	0.738	0.655	1.095	1.952	4.075	2.215	0.620	0.452
7kql_66_4	0.547	0.687	1.000	1.695	3.923	0.830	0.632	0.578
7kql_75_1	0.597	0.743	1.369	1.986	3.456	0.916	0.522	0.825
7kql_28_3	0.509	0.591	1.325	1.953	3.716	0.661	0.386	0.505
7kql_28_4	0.616	0.735	1.410	1.746	4.344	1.066	0.481	0.627
7kql_54_1	0.532	0.695	1.270	1.896	4.728	0.918	0.535	0.872
7kql_66_3	0.560	0.750	1.109	1.669	4.413	0.848	0.516	0.576
7kql_37_1	0.764	0.625	1.048	1.848	4.814	2.162	0.497	0.524
7kql_97_3	0.595	0.613	1.233	1.528	4.475	0.712	0.376	0.510
7kql_97_4	0.570	0.688	1.290	1.877	4.478	0.883	0.537	0.647
7kez_98_1	1.522	0.704	0.716	1.009	4.372	4.705	0.504	0.440
7kez_65_1	1.476	0.502	0.283	0.621	3.591	4.837	0.328	0.540
7kez_80_0	1.396	0.633	0.585	1.015	4.441	4.340	0.536	0.447
7kez_33_0	1.527	0.548	0.290	0.692	4.096	5.042	0.256	0.721
7kez_62_2	1.529	0.625	0.735	0.937	4.952	4.748	0.495	0.432
7kez_50_0	1.497	0.539	0.342	0.663	4.338	4.855	0.360	0.516
7kez_34_4	0.996	0.511	0.290	0.670	4.892	2.928	0.237	0.530
7kez_34_3	1.463	0.527	0.340	0.535	4.329	4.818	0.269	0.605
7kez_52_1	1.510	0.523	0.346	0.548	3.595	5.042	0.260	0.726
7kez_46_0	1.564	0.571	0.346	0.584	3.830	5.143	0.299	0.613
7kez_18_4	1.493	0.434	0.506	0.823	5.013	5.002	0.246	0.661
7kez_13_0	1.435	0.543	0.293	0.592	4.128	4.631	0.324	0.624
7kez_39_3	1.391	0.512	0.444	0.576	4.409	4.614	0.263	0.759
7kez_39_4	1.441	0.688	0.468	0.762	5.035	4.512	0.468	0.448
7kez_18_3	1.553	0.591	0.475	0.737	5.479	4.976	0.529	0.445
7kez_63_2	1.556	0.547	0.583	0.698	4.433	5.134	0.315	0.558
7kez_37_2	1.532	0.525	0.289	0.731	3.738	5.015	0.333	0.567
7kez_97_0	1.443	0.629	0.502	0.859	4.187	4.477	0.401	0.470
7kez_54_2	1.357	0.565	0.413	0.654	4.553	4.299	0.405	0.742
7kez_66_0	1.567	0.538	0.271	0.591	4.584	5.232	0.332	0.539
7kez_75_2	1.430	0.537	0.446	0.728	5.849	4.645	0.400	0.629
7kez_28_0	1.520	0.503	0.474	0.721	5.634	5.019	0.301	0.646
7kez_6_0	1.505	0.554	0.559	0.743	4.804	4.827	0.406	0.500
7kez_46_1	1.561	0.552	0.480	0.807	4.036	5.057	0.408	0.480
7kez_52_0	1.326	0.485	0.464	0.620	4.666	4.413	0.260	0.656
7kez_62_4	1.991	0.501	0.312	0.516	3.634	6.939	0.459	0.573
7kez_34_2	1.513	0.775	0.441	0.827	5.239	4.736	0.534	0.443
7kez_62_3	1.123	0.570	0.358	0.693	4.614	3.302	0.494	0.475
7kez_50_1	1.470	0.690	0.257	0.642	4.105	4.685	0.477	0.648
7kez_33_1	1.506	0.595	0.457	0.792	4.679	4.749	0.460	0.517
7kez_65_0	1.445	0.449	0.318	0.648	4.728	4.797	0.284	0.521
7kez_98_0	1.517	0.535	0.350	0.644	4.374	4.950	0.423	0.687
7kez_80_1	1.477	0.576	0.413	0.727	4.650	4.711	0.371	0.496
7kez_54_4	1.524	0.590	0.517	0.835	5.133	4.836	0.435	0.551
7kez_75_3	1.826	0.597	0.349	0.702	5.169	6.004	0.370	0.485
7kez_28_1	1.566	0.526	0.420	0.630	5.290	5.052	0.312	0.525
7kez_6_1	1.574	0.504	0.389	0.632	4.579	5.198	0.302	0.665
7kez_75_4	1.557	0.546	0.369	0.728	5.867	5.054	0.388	0.528
7kez_54_3	1.524	0.550	0.438	0.952	4.784	4.954	0.364	0.494
7kez_66_1	1.584	0.543	0.354	0.617	3.994	5.148	0.273	0.519
7kez_37_3	1.994	0.568	0.375	0.692	4.843	6.826	0.391	0.510
7kez_97_1	1.530	0.612	0.470	0.758	4.671	4.887	0.414	0.609
7kez_37_4	1.521	0.668	0.565	0.783	5.161	4.688	0.576	0.503
7kez_63_4	1.444	0.502	0.845	0.781	4.892	4.777	0.443	0.521
7kez_63_3	1.444	0.505	0.287	0.559	4.299	4.690	0.279	0.709
7kez_18_2	1.437	0.633	0.512	0.928	5.074	4.437	0.537	0.482
7kez_13_1	1.602	0.603	0.506	0.914	5.724	5.201	0.395	0.547
7kez_39_2	1.713	0.481	0.418	0.538	4.898	5.896	0.269	0.583
7kez_54_0	1.548	0.513	0.331	0.671	4.875	5.140	0.313	0.666
7kez_66_2	1.506	0.501	0.391	0.599	4.209	5.094	0.275	0.669
7kez_75_0	1.491	0.631	0.527	0.867	5.352	4.660	0.534	0.515
7kez_28_2	1.520	0.570	0.384	0.851	4.375	4.924	0.376	0.576
7kez_6_2	1.482	0.588	0.618	0.860	4.424	4.708	0.438	0.419
7kez_37_0	1.718	0.533	0.334	0.601	4.467	5.807	0.273	0.473
7kez_97_2	1.490	0.548	0.379	0.668	5.472	4.794	0.363	0.593
7kez_63_0	1.025	0.474	0.328	0.632	5.211	3.172	0.299	0.516
7kez_13_2	1.509	0.473	0.365	0.749	5.571	5.060	0.305	0.501
7kez_39_1	1.081	0.628	0.320	0.496	4.276	3.333	0.421	0.791
7kez_18_1	1.891	0.530	0.488	0.749	5.678	6.461	0.475	0.511
7kez_46_2	1.577	0.632	0.327	0.606	5.301	5.185	0.385	0.591
7kez_52_3	1.608	0.492	0.470	0.669	5.188	5.357	0.359	0.514
7kez_52_4	1.548	0.554	0.380	0.639	4.594	5.018	0.326	0.542
7kez_62_0	1.632	0.552	0.315	0.627	3.825	5.361	0.295	0.478
7kez_50_2	1.509	0.557	0.478	0.663	5.348	4.819	0.327	0.542
7kez_34_1	1.557	0.629	0.207	0.635	4.205	5.219	0.249	0.529
7kez_98_3	1.462	0.535	0.418	0.643	4.960	4.701	0.396	0.502
7kez_65_3	1.577	0.565	0.408	0.715	4.773	5.079	0.358	0.504
7kez_80_2	1.546	0.440	0.393	0.524	4.627	5.278	0.280	0.689
7kez_98_4	1.600	0.547	0.415	0.790	5.231	5.233	0.346	0.454
7kez_65_4	1.511	0.587	0.482	0.859	4.660	4.803	0.371	0.484
7kez_33_2	1.513	0.518	0.338	0.587	5.118	4.999	0.339	0.540
7kez_18_0	1.631	0.564	0.378	0.742	4.698	5.238	0.444	0.603
7kez_13_4	1.540	0.617	0.551	0.862	4.881	4.850	0.407	0.456
7kez_13_3	1.652	0.515	0.321	0.619	4.716	5.558	0.289	0.561
7kez_39_0	1.552	0.542	0.497	0.779	4.655	5.096	0.274	0.523
7kez_63_1	1.918	0.582	0.364	0.773	4.991	6.380	0.523	0.541
7kez_37_1	1.537	0.701	0.374	0.704	5.568	5.039	0.381	0.489
7kez_97_3	1.609	0.560	0.386	0.561	4.666	5.285	0.279	0.571
7kez_97_4	1.434	0.717	0.448	0.727	4.465	4.448	0.428	0.599
7kez_66_4	1.284	0.629	0.668	0.897	4.258	3.853	0.537	0.561
7kez_75_1	1.502	0.682	0.424	0.751	5.293	4.709	0.369	0.505
7kez_28_3	1.571	0.559	0.290	0.577	3.659	5.166	0.259	0.689
7kez_6_3	1.580	0.539	0.288	0.572	4.884	5.175	0.295	0.568
7kez_28_4	1.525	0.538	0.534	0.693	4.221	4.990	0.401	0.543
7kez_6_4	1.468	0.594	0.362	0.727	4.401	4.687	0.364	0.493
7kez_54_1	1.518	0.593	0.374	0.561	3.504	4.992	0.270	0.849
7kez_66_3	1.573	0.577	0.375	0.579	4.410	5.197	0.252	0.568
7kez_80_4	1.533	0.482	0.263	0.560	4.752	5.115	0.235	0.583
7kez_33_3	1.534	0.500	0.339	0.567	4.765	5.063	0.340	0.528
7kez_65_2	1.586	0.605	0.490	0.793	4.589	5.043	0.438	0.524
7kez_98_2	1.522	0.539	0.429	0.644	4.785	4.992	0.318	0.593
7kez_33_4	1.595	0.561	0.345	0.644	4.278	5.332	0.406	0.606
7kez_80_3	1.511	0.533	0.288	0.637	4.688	4.973	0.300	0.560
7kez_50_4	0.887	0.533	0.427	0.798	4.432	2.452	0.380	0.469
7kez_34_0	1.404	0.647	0.621	0.940	4.900	4.395	0.469	0.446
7kez_62_1	1.567	0.558	0.455	0.751	5.121	5.035	0.333	0.498
7kez_50_3	1.855	0.608	0.341	0.690	4.496	6.119	0.454	0.565
7kez_52_2	1.523	0.755	0.488	0.780	4.970	4.800	0.447	0.504
7kez_46_3	1.595	0.563	0.394	0.712	4.657	5.200	0.454	0.525
7kez_46_4	1.383	0.562	0.321	0.646	4.410	4.444	0.366	0.589
7s11_66_4	0.676	0.849	0.999	0.948	2.399	0.644	0.573	0.959
7s11_28_3	0.610	1.006	0.821	0.818	2.083	0.764	0.931	0.991
7s11_75_1	0.625	0.941	1.113	0.991	2.134	0.803	0.872	1.038
7s11_28_4	0.636	0.881	1.182	0.934	1.941	0.901	0.865	0.816
7s11_54_1	0.620	0.765	0.996	0.509	1.783	0.531	0.506	0.626
7s11_66_3	0.639	0.858	0.833	0.846	1.856	0.526	0.454	0.618
7s11_97_3	0.635	0.827	0.979	0.879	2.368	0.610	0.585	0.977
7s11_37_1	0.544	1.356	1.378	1.038	1.791	1.399	1.471	0.893
7s11_97_4	0.625	0.813	1.056	0.634	1.171	0.593	0.744	0.908
7s11_63_1	0.590	1.274	1.019	1.036	5.004	0.917	1.390	1.362
7s11_18_0	0.627	0.775	1.198	0.794	2.086	0.491	0.456	0.703
7s11_13_4	0.617	1.343	1.157	1.243	4.519	1.078	1.344	1.627
7s11_13_3	0.632	1.296	1.534	1.528	4.480	1.051	1.240	1.704
7s11_39_0	0.624	0.777	1.066	0.715	2.317	0.660	0.678	0.741
7s11_46_3	0.591	0.713	1.049	0.548	1.988	0.683	0.554	0.579
7s11_6_4	0.598	1.129	0.905	0.841	4.821	0.898	1.200	1.465
7s11_6_3	0.570	1.268	0.883	0.898	3.671	1.026	1.466	1.588
7s11_46_4	0.629	0.949	0.893	0.891	2.059	0.849	0.909	0.994
7s11_52_2	0.661	0.750	1.086	0.702	2.182	0.461	0.472	0.667
7s11_34_0	0.624	1.414	1.174	1.077	4.720	1.271	1.641	1.461
7s11_50_4	0.628	0.805	0.886	0.533	1.826	0.560	0.641	0.861
7s11_62_1	0.585	1.383	1.044	1.049	4.912	1.049	1.775	1.546
7s11_50_3	0.612	0.860	0.840	0.663	1.860	0.713	0.561	0.884
7s11_80_4	0.597	1.160	0.878	0.527	4.690	0.907	1.460	1.421
7s11_33_3	0.623	1.217	0.913	0.602	4.022	0.987	1.470	1.490
7s11_33_4	0.570	1.319	0.996	0.966	4.399	1.100	1.678	1.543
7s11_65_2	0.631	1.071	0.801	0.775	2.305	0.890	0.829	0.883
7s11_98_2	0.663	0.810	1.036	0.652	1.906	0.496	0.481	0.877
7s11_80_3	0.572	1.077	0.881	0.692	4.759	0.935	1.129	1.199
7s11_13_2	0.591	1.202	1.209	1.377	4.541	0.944	1.350	1.531
7s11_39_1	0.630	0.756	1.075	0.697	1.954	0.584	0.517	0.771
7s11_18_1	0.578	0.980	0.808	0.766	1.998	0.869	0.929	0.816
7s11_63_0	0.598	1.376	1.241	1.069	4.923	1.473	1.545	1.163
7s11_97_2	0.622	1.044	0.811	0.728	2.412	0.957	1.019	0.837
7s11_37_0	0.624	0.788	1.167	0.356	0.994	0.718	0.805	0.725
7s11_54_0	0.581	1.030	0.785	0.827	2.041	0.801	0.952	1.025
7s11_66_2	0.645	0.945	0.924	0.940	2.011	0.606	0.686	0.967
7s11_28_2	0.627	1.120	0.728	0.781	1.278	0.718	1.138	1.073
7s11_75_0	0.614	0.851	0.815	0.650	2.331	0.740	0.691	0.789
7s11_98_3	0.618	0.878	1.028	0.872	1.838	0.865	0.888	0.801
7s11_65_3	0.558	1.447	1.058	1.023	1.757	1.019	1.282	1.475
7s11_80_2	0.593	1.065	0.964	0.824	4.663	0.878	1.193	1.252
7s11_33_2	0.577	1.035	0.889	0.671	4.062	0.893	1.274	1.213
7s11_98_4	0.589	0.892	1.059	0.771	1.909	0.782	0.674	0.844
7s11_65_4	0.590	1.327	1.045	0.812	1.318	1.068	1.440	1.010
7s11_62_0	0.548	1.037	1.067	0.753	4.745	0.825	1.239	1.347
7s11_50_2	0.612	0.789	0.785	0.612	2.385	0.598	0.584	0.838
7s11_34_1	0.579	0.845	0.926	0.664	4.764	0.688	0.946	1.101
7s11_52_3	0.580	0.848	1.054	0.596	0.835	0.936	0.927	0.553
7s11_52_4	0.620	0.797	1.116	0.879	2.311	0.584	0.558	0.805
7s11_6_2	0.583	1.065	0.960	0.863	4.783	0.886	1.108	1.296
7s11_46_2	0.621	0.997	0.830	0.896	2.025	0.641	0.768	1.025
7s11_33_1	0.570	1.030	0.883	0.678	4.700	0.853	1.108	0.990
7s11_65_0	0.626	0.829	1.089	0.829	1.954	0.640	0.462	0.981
7s11_98_0	0.635	0.934	1.006	0.848	1.987	0.753	0.835	0.888
7s11_80_1	0.598	1.255	0.905	0.939	4.552	1.083	1.335	1.620
7s11_34_2	0.582	1.191	0.935	0.900	4.721	0.931	1.287	1.419
7s11_62_4	0.645	1.138	0.892	0.623	4.730	0.997	1.277	1.245
7s11_62_3	0.587	1.183	0.980	1.005	4.723	0.914	1.465	1.510
7s11_50_1	0.628	0.773	1.070	0.719	1.939	0.732	0.546	0.754
7s11_52_0	0.594	1.081	0.885	0.810	0.831	0.879	1.028	0.885
7s11_46_1	0.633	0.907	0.785	0.617	2.138	0.633	0.667	0.867
7s11_6_1	0.597	1.139	0.866	0.805	5.139	0.923	1.436	1.478
7s11_18_2	0.642	0.908	0.945	0.612	2.265	0.669	0.676	0.892
7s11_13_1	0.599	1.348	0.885	0.933	4.383	1.185	1.403	1.611
7s11_39_2	0.628	0.783	1.130	0.699	1.891	0.631	0.579	0.785
7s11_63_4	0.572	1.215	1.114	1.318	4.625	1.075	1.502	1.472
7s11_63_3	0.575	1.082	0.960	0.829	4.129	0.829	1.157	1.317
7s11_97_1	0.637	0.960	0.778	0.828	2.414	0.721	0.910	1.023
7s11_37_3	0.636	0.876	0.779	0.626	2.268	0.672	0.693	0.769
7s11_37_4	0.652	0.892	0.778	0.824	2.015	0.717	0.591	0.720
7s11_54_4	0.628	0.863	1.154	0.643	0.942	0.642	0.585	0.732
7s11_28_1	0.573	1.564	1.521	1.548	1.764	1.507	1.872	1.193
7s11_75_3	0.627	0.812	1.135	0.826	0.895	0.596	0.662	0.830
7s11_75_4	0.640	0.802	1.037	0.956	2.066	0.579	0.520	0.789
7s11_54_3	0.635	0.816	0.820	0.588	2.212	0.494	0.532	0.763
7s11_66_1	0.611	1.194	1.090	1.099	1.767	1.293	1.349	0.923
7s11_6_0	0.566	1.014	0.960	0.526	4.714	0.964	1.112	0.967
7s11_46_0	0.613	0.965	0.842	0.736	1.978	0.701	0.768	0.906
7s11_52_1	0.662	0.804	1.406	0.542	2.125	0.603	0.521	0.610
7s11_34_4	0.607	1.214	0.952	1.195	4.102	1.050	1.467	1.497
7s11_62_2	0.590	1.406	1.205	0.883	4.508	1.399	1.552	1.351
7s11_50_0	0.647	0.851	1.075	0.905	1.932	0.627	0.541	0.989
7s11_34_3	0.573	1.095	0.774	0.763	4.313	0.941	1.495	1.412
