model	plddt_full	plddt_h1	plddt_h2	plddt_h3	plddt_l1	plddt_l2	plddt_l3	pdb
7kf0_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_001	94.84	94.291	94.899	81.852	75.632	88.563	91.194	7kf0
7kf0_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_003	95.089	94.619	94.844	81.712	77.747	89.667	92.201	7kf0
7kf0_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_000	94.829	94.641	95.14	83.183	74.748	88.917	90.716	7kf0
7kf0_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_004	94.498	93.946	94.29	80.217	71.76	87.523	90.672	7kf0
7kf0_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_003	94.214	93.318	93.814	80.448	71.285	88.5	89.283	7kf0
7kf1_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_004	93.676	93.422	95.359	73.786	71.052	87.417	89.153	7kf1
7kf1_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_004	94.081	92.335	93.57	72.35	77.659	88.75	91.221	7kf1
7kf1_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_000	94.202	93.524	95.219	76.71	76.016	88.397	90.84	7kf1
7kf1_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_003	93.437	91.602	92.665	73.004	71.083	85.333	89.328	7kf1
7kf1_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_002	92.413	90.501	94.588	64.528	70.092	85.0	87.001	7kf1
7kf1_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_000	93.457	92.204	93.938	74.383	71.126	87.397	88.639	7kf1
7kf1_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_001	93.272	91.799	93.109	72.034	70.09	85.183	89.061	7kf1
7kf1_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_002	93.46	91.555	93.117	70.856	73.06	85.643	89.201	7kf1
7kf1_unrelaxed_rank_018_alphafold2_multimer_v3_model_4_seed_004	93.099	91.924	93.281	71.601	71.411	84.853	88.877	7kf1
7kf1_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001	94.291	93.134	94.616	73.751	77.479	88.437	91.59	7kf1
7kf1_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_001	92.754	91.798	95.119	65.736	71.906	85.333	88.492	7kf1
7kf1_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_000	93.346	91.835	93.381	71.449	71.122	85.75	89.368	7kf1
7kf1_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_001	94.242	93.445	95.485	75.478	78.562	87.917	91.521	7kf1
7kf1_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_002	93.743	92.174	94.209	72.651	76.914	86.71	90.41	7kf1
7kf1_unrelaxed_rank_024_alphafold2_multimer_v3_model_2_seed_002	92.555	91.851	95.094	64.696	70.398	85.187	88.582	7kf1
7kf1_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_003	94.201	92.827	94.149	74.001	76.472	88.647	91.306	7kf1
7kf1_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_000	93.751	92.695	94.077	72.559	76.116	86.437	90.349	7kf1
7kf1_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_004	93.355	91.876	93.733	73.409	71.294	86.897	88.619	7kf1
7kf1_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_003	93.431	92.072	93.615	73.524	72.702	85.937	89.617	7kf1
7kf1_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_004	93.173	91.549	93.073	71.463	69.925	84.857	88.834	7kf1
7kf1_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000	94.164	92.75	94.195	72.779	77.982	88.813	91.213	7kf1
7kf1_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_002	93.992	92.696	94.171	72.912	75.783	88.357	90.513	7kf1
7kf1_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_003	96.379	96.188	97.102	89.419	89.412	94.187	94.272	7kf1
7kf1_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_001	92.951	91.274	95.094	66.679	71.605	85.083	89.298	7kf1
7kf1_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_003	93.391	92.156	93.891	74.018	70.734	86.643	87.896	7kf1
7kql_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_001	93.31	82.056	86.839	69.513	91.804	93.46	87.2	7kql
7kql_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_002	93.65	81.267	87.56	70.977	93.991	94.48	89.314	7kql
7kql_unrelaxed_rank_024_alphafold2_multimer_v3_model_5_seed_004	92.869	83.275	85.671	69.751	84.009	92.063	85.549	7kql
7kql_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_001	93.42	80.643	87.161	70.693	93.946	94.333	88.833	7kql
7kql_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_004	93.081	79.239	81.58	70.712	93.83	94.23	88.938	7kql
7kql_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_000	93.231	82.226	83.76	71.534	89.037	93.46	88.047	7kql
7kql_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_002	93.585	80.307	85.357	72.07	92.0	93.23	90.041	7kql
7kql_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_004	93.516	80.543	85.983	71.352	90.651	93.187	88.959	7kql
7kql_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_002	93.631	84.282	84.893	73.131	88.233	93.373	88.709	7kql
7kql_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_001	93.4	79.674	84.294	73.604	91.393	94.143	89.347	7kql
7kql_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_003	93.776	80.565	85.054	74.273	91.411	94.127	89.882	7kql
7kql_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_000	93.942	84.799	87.609	71.127	91.24	93.587	89.117	7kql
7kql_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_000	93.472	80.269	87.221	70.473	94.17	94.563	89.236	7kql
7kql_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_002	93.769	82.639	86.419	70.487	93.527	94.437	89.451	7kql
7kql_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_001	92.858	83.025	84.786	71.6	84.483	91.957	87.028	7kql
7kql_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_003	93.118	79.23	81.001	72.089	94.169	94.603	89.639	7kql
7kql_unrelaxed_rank_013_alphafold2_multimer_v3_model_1_seed_004	92.939	80.75	82.367	71.936	82.477	92.73	88.951	7kql
7kql_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_003	93.197	81.024	82.5	73.046	84.767	93.417	88.896	7kql
7kql_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_000	93.624	82.6	87.454	73.105	91.964	93.793	85.653	7kql
7kql_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_004	93.531	83.307	83.41	71.823	92.484	94.127	89.779	7kql
7kql_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000	93.229	80.337	82.41	71.718	89.661	93.583	89.278	7kql
7kql_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_003	93.203	84.932	88.573	70.46	79.827	91.437	86.902	7kql
7kql_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_003	93.373	83.138	83.481	71.578	91.341	93.897	88.611	7kql
7kql_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_001	93.57	77.126	87.337	73.605	90.857	93.917	88.589	7kql
7kql_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_002	93.483	84.143	85.847	71.131	91.939	93.937	87.986	7kql
7l7r_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_000	97.362	97.677	96.207	94.467	98.168	98.373	95.521	7l7r
7l7r_unrelaxed_rank_013_alphafold2_multimer_v3_model_1_seed_004	96.956	96.867	95.811	92.171	97.478	97.9	92.61	7l7r
7l7r_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_004	97.3	97.556	96.616	93.448	97.625	98.207	94.292	7l7r
7l7r_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_000	97.131	97.188	96.374	91.604	97.282	97.917	93.748	7l7r
7l7r_unrelaxed_rank_006_alphafold2_multimer_v3_model_3_seed_004	97.476	97.61	96.874	94.203	97.697	98.333	95.001	7l7r
7l7r_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_003	97.508	97.656	96.927	94.223	97.74	98.29	95.214	7l7r
7l7r_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_004	96.511	96.601	95.617	89.954	96.853	97.44	92.444	7l7r
7l7r_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_002	97.393	97.289	96.463	93.942	97.895	98.437	94.161	7l7r
7l7r_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_001	97.351	97.415	96.501	93.479	97.738	98.333	94.014	7l7r
7l7r_unrelaxed_rank_010_alphafold2_multimer_v3_model_1_seed_001	96.95	96.529	95.776	91.968	97.657	98.02	92.161	7l7r
7l7r_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_002	96.568	96.389	95.661	89.473	96.907	97.457	92.298	7l7r
7l7r_unrelaxed_rank_021_alphafold2_multimer_v3_model_1_seed_002	96.679	96.757	95.929	89.974	96.812	97.333	92.987	7l7r
7l7r_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_000	97.205	97.133	96.536	91.943	97.147	97.94	94.056	7l7r
7l7r_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_004	97.365	97.74	96.294	94.568	98.177	98.413	95.611	7l7r
7l7r_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_003	97.321	97.477	96.51	93.399	97.678	98.25	94.144	7l7r
7l7r_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_001	97.403	97.67	96.151	94.673	98.242	98.413	95.598	7l7r
7l7r_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_003	97.462	97.83	96.347	95.094	98.282	98.457	95.86	7l7r
7l7r_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000	97.131	96.826	95.983	92.505	97.697	98.143	93.619	7l7r
7l7r_unrelaxed_rank_018_alphafold2_multimer_v3_model_1_seed_003	96.811	96.876	95.876	91.569	97.272	97.71	92.937	7l7r
7l7r_unrelaxed_rank_024_alphafold2_multimer_v3_model_2_seed_003	96.425	96.39	95.481	89.156	96.647	97.27	92.033	7l7r
7l7r_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_001	97.219	97.243	96.393	92.386	97.252	98.02	93.922	7l7r
7l7r_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_000	96.603	96.651	95.634	90.119	96.958	97.54	92.79	7l7r
7l7r_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_001	96.934	96.57	95.759	91.876	97.572	97.98	93.472	7l7r
7l7r_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_002	97.421	97.797	96.454	94.676	98.187	98.413	95.626	7l7r
7l7r_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_002	97.572	97.649	96.859	94.587	97.895	98.397	95.388	7l7r
7lr3_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_004	96.937	98.07	97.821	94.367	96.115	97.623	94.234	7lr3
7lr3_unrelaxed_rank_010_alphafold2_multimer_v3_model_3_seed_004	96.847	97.939	97.227	92.781	94.24	96.397	93.454	7lr3
7lr3_unrelaxed_rank_017_alphafold2_multimer_v3_model_1_seed_003	96.629	97.83	97.509	92.201	96.438	97.167	93.616	7lr3
7lr3_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_004	97.05	98.014	97.533	92.6	95.947	97.043	93.97	7lr3
7lr3_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000	96.755	97.839	97.499	92.313	95.508	97.123	93.513	7lr3
7lr3_unrelaxed_rank_024_alphafold2_multimer_v3_model_2_seed_002	96.404	97.631	97.282	91.107	95.832	96.753	93.68	7lr3
7lr3_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_000	96.969	98.134	97.734	93.107	96.553	97.333	93.689	7lr3
7lr3_unrelaxed_rank_021_alphafold2_multimer_v3_model_2_seed_003	96.578	97.842	97.46	91.924	95.937	96.913	93.94	7lr3
7lr3_unrelaxed_rank_015_alphafold2_multimer_v3_model_4_seed_003	96.762	98.165	97.735	93.131	96.562	97.207	93.461	7lr3
7lr3_unrelaxed_rank_013_alphafold2_multimer_v3_model_3_seed_002	96.739	97.805	97.242	92.751	94.92	96.563	93.915	7lr3
7lr3_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_001	96.809	97.815	97.359	91.499	94.49	96.083	93.304	7lr3
7lr3_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_001	96.471	97.766	97.4	91.501	94.387	96.353	93.109	7lr3
7lr3_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_001	97.027	98.151	97.774	93.343	96.502	97.313	94.116	7lr3
7lr3_unrelaxed_rank_014_alphafold2_multimer_v3_model_1_seed_002	96.601	97.78	97.452	92.269	95.792	97.167	93.696	7lr3
7lr3_unrelaxed_rank_016_alphafold2_multimer_v3_model_4_seed_004	96.785	98.085	97.703	92.174	96.27	96.897	93.485	7lr3
7lr3_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_004	96.734	98.054	97.75	92.651	95.508	97.207	93.375	7lr3
7lr3_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_003	96.935	97.791	97.338	91.736	95.697	96.73	93.898	7lr3
7lr3_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_000	96.451	97.703	97.351	91.537	95.605	96.647	93.616	7lr3
7lr3_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_001	96.801	98.006	97.749	92.469	95.488	97.02	93.453	7lr3
7lr3_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_000	96.986	97.741	97.28	91.673	95.927	96.897	94.164	7lr3
7lr3_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_001	96.664	97.86	97.313	92.587	93.44	95.873	92.931	7lr3
7lr3_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_002	96.872	97.743	97.326	91.5	95.687	96.643	93.963	7lr3
7lr3_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_003	96.578	97.75	97.086	92.226	93.845	95.977	92.79	7lr3
7lr3_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_000	96.834	97.827	97.236	92.612	94.522	96.397	93.461	7lr3
7lr3_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_002	96.923	98.103	97.718	92.8	96.542	97.167	93.938	7lr3
7lr4_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_002	93.597	67.249	86.508	75.476	94.935	95.917	93.542	7lr4
7lr4_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_002	93.726	69.339	87.515	74.675	95.627	96.187	93.361	7lr4
7lr4_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_002	93.626	68.521	86.162	77.753	94.01	95.65	93.34	7lr4
7lr4_unrelaxed_rank_024_alphafold2_multimer_v3_model_4_seed_001	89.664	66.93	85.235	64.192	89.76	93.5	75.953	7lr4
7lr4_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_001	93.32	70.41	86.835	76.119	93.842	95.207	92.132	7lr4
7lr4_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_000	93.846	70.612	87.891	78.208	92.72	95.457	93.311	7lr4
7lr4_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_004	93.523	70.938	87.015	77.733	93.542	95.627	93.152	7lr4
7lr4_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_003	93.608	69.915	87.031	77.825	93.927	95.793	93.341	7lr4
7lr4_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_002	93.717	73.718	87.554	77.055	93.355	95.147	92.756	7lr4
7lr4_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_003	93.722	70.879	87.008	76.051	94.737	95.917	93.306	7lr4
7lr4_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_003	93.1	68.59	85.079	73.364	94.813	95.54	92.84	7lr4
7lr4_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_000	93.462	69.69	87.516	74.771	93.918	94.853	92.674	7lr4
7lr4_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_003	93.699	70.246	87.726	78.951	95.073	95.96	93.599	7lr4
7lr4_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_004	93.851	71.461	87.461	77.94	94.447	95.897	92.943	7lr4
7lr4_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_001	93.338	69.195	86.962	74.09	93.333	95.44	92.007	7lr4
7lr4_unrelaxed_rank_014_alphafold2_multimer_v3_model_2_seed_004	93.373	70.28	87.101	74.395	94.583	95.563	92.194	7lr4
7lr4_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	94.123	69.698	87.979	78.722	95.55	96.25	94.166	7lr4
7lr4_unrelaxed_rank_025_alphafold2_multimer_v3_model_5_seed_001	86.199	65.114	79.086	53.9	76.135	86.063	62.851	7lr4
7lr4_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_002	93.988	67.829	86.579	77.731	95.323	96.627	94.36	7lr4
7lr4_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_003	93.262	67.246	86.884	74.46	93.415	94.877	92.597	7lr4
7lr4_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000	93.95	70.188	87.954	74.464	95.637	96.0	93.556	7lr4
7lr4_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_004	93.318	66.926	87.546	74.244	94.625	94.833	92.513	7lr4
7lr4_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_004	93.755	68.861	86.164	80.309	95.302	96.52	94.054	7lr4
7lr4_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_001	93.483	69.327	86.336	76.699	95.458	96.103	92.971	7lr4
7lr4_unrelaxed_rank_023_alphafold2_multimer_v3_model_4_seed_000	89.811	65.273	84.774	65.103	91.26	94.043	77.577	7lr4
7mdj_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_000	97.433	95.976	94.405	95.704	98.198	98.563	96.548	7mdj
7mdj_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_001	97.494	96.141	93.984	96.13	97.625	98.457	96.049	7mdj
7mdj_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_002	97.414	95.749	93.368	95.87	97.51	98.5	96.277	7mdj
7mdj_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_003	97.095	94.469	93.704	94.882	96.23	98.23	94.243	7mdj
7mdj_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_002	97.419	95.766	93.297	95.773	97.477	98.393	96.138	7mdj
7mdj_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_002	97.31	94.991	93.945	95.593	96.958	98.353	95.187	7mdj
7mdj_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_002	97.561	95.861	94.445	95.819	97.447	98.48	95.973	7mdj
7mdj_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_000	97.151	94.381	93.263	94.886	97.472	98.353	95.624	7mdj
7mdj_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_000	97.301	95.587	93.085	95.805	97.363	98.333	96.001	7mdj
7mdj_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_003	97.484	95.5	93.096	95.926	97.678	98.52	96.187	7mdj
7mdj_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_003	97.542	95.601	94.243	95.766	97.415	98.48	95.563	7mdj
7mdj_unrelaxed_rank_016_alphafold2_multimer_v3_model_4_seed_003	97.561	96.344	94.82	96.222	97.75	98.517	95.313	7mdj
7mdj_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_004	97.603	95.695	93.375	96.147	97.832	98.543	96.653	7mdj
7mdj_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_004	97.467	96.094	93.826	96.046	97.763	98.437	96.258	7mdj
7mdj_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_003	97.416	95.843	93.54	96.307	97.375	98.457	96.236	7mdj
7mdj_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_004	97.568	96.259	94.481	96.223	98.167	98.517	96.694	7mdj
7mdj_unrelaxed_rank_025_alphafold2_multimer_v3_model_4_seed_002	93.709	91.023	89.594	71.526	94.052	96.143	86.111	7mdj
7mdj_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_004	97.358	94.923	93.787	95.29	97.44	98.353	95.812	7mdj
7mdj_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_004	97.574	95.86	94.524	95.518	97.323	98.393	95.667	7mdj
7mdj_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000	97.496	95.571	93.213	96.013	96.887	98.437	96.25	7mdj
7mdj_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001	97.543	95.96	93.711	96.187	97.925	98.583	96.529	7mdj
7mdj_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_001	97.609	96.116	94.65	96.023	98.033	98.587	96.071	7mdj
7mdj_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_000	97.429	95.486	94.522	95.083	97.635	98.457	95.653	7mdj
7mdj_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_001	97.116	95.093	93.993	95.154	96.593	98.27	93.847	7mdj
7mdj_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_001	97.597	96.016	94.625	95.985	97.5	98.52	95.681	7mdj
7mrz_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_001	95.954	88.138	93.401	91.722	93.151	97.147	86.332	7mrz
7mrz_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000	95.494	90.867	93.721	87.791	91.203	96.23	82.856	7mrz
7mrz_unrelaxed_rank_023_alphafold2_multimer_v3_model_5_seed_002	95.223	90.563	93.386	86.58	91.215	96.143	80.403	7mrz
7mrz_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_004	95.654	90.881	93.689	88.436	92.208	96.727	84.287	7mrz
7mrz_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_002	95.048	86.132	92.57	88.664	91.598	96.54	81.24	7mrz
7mrz_unrelaxed_rank_012_alphafold2_multimer_v3_model_2_seed_004	95.635	88.337	93.071	90.256	93.072	97.31	85.213	7mrz
7mrz_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_003	95.398	86.981	92.25	89.455	91.5	96.54	84.069	7mrz
7mrz_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_001	95.402	87.169	92.313	88.188	91.756	96.393	83.882	7mrz
7mrz_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_003	95.582	91.294	93.939	87.676	91.782	96.107	83.369	7mrz
7mrz_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_002	95.876	89.412	93.573	91.903	92.261	96.897	85.195	7mrz
7mrz_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_004	95.26	91.407	92.796	89.999	91.485	96.313	80.761	7mrz
7mrz_unrelaxed_rank_013_alphafold2_multimer_v3_model_1_seed_002	95.044	88.882	92.321	87.529	90.459	95.873	80.885	7mrz
7mrz_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_000	96.198	92.467	94.937	92.135	92.866	97.063	86.084	7mrz
7mrz_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_004	96.129	90.438	93.599	92.88	93.567	97.52	86.807	7mrz
7mrz_unrelaxed_rank_014_alphafold2_multimer_v3_model_2_seed_000	95.349	90.499	93.919	88.909	91.967	96.773	80.712	7mrz
7mrz_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_001	95.381	90.413	93.341	87.569	91.945	96.377	81.019	7mrz
7mrz_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_000	95.446	92.193	93.527	88.198	92.223	96.727	80.894	7mrz
7mrz_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_001	95.479	90.732	93.136	90.403	92.61	96.77	81.951	7mrz
7mrz_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_004	95.179	88.001	92.161	87.926	91.251	96.267	81.688	7mrz
7mrz_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_003	95.786	89.119	94.181	89.966	92.8	96.917	85.856	7mrz
7mrz_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	95.176	89.825	92.794	89.606	91.353	96.377	80.594	7mrz
7mrz_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_003	95.863	90.581	93.34	92.936	92.833	97.477	82.461	7mrz
7mrz_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_003	95.499	91.113	93.189	90.931	92.114	96.94	81.788	7mrz
7mrz_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_001	95.801	87.602	93.563	91.194	93.543	97.29	85.494	7mrz
7mrz_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_000	95.77	92.656	93.919	91.539	92.703	97.213	84.238	7mrz
7msq_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_004	93.679	89.932	89.527	67.508	92.863	91.67	91.874	7msq
7msq_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_003	93.707	90.211	89.644	67.728	93.95	92.873	93.653	7msq
7msq_unrelaxed_rank_021_alphafold2_multimer_v3_model_2_seed_004	93.935	91.836	91.259	72.021	93.562	92.27	91.723	7msq
7msq_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_003	94.534	91.64	92.009	73.346	94.218	93.627	94.737	7msq
7msq_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_000	93.877	89.36	89.071	73.861	93.02	91.623	92.097	7msq
7msq_unrelaxed_rank_019_alphafold2_multimer_v3_model_4_seed_000	94.129	90.999	90.391	74.469	92.957	91.75	92.049	7msq
7msq_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_000	93.757	90.031	90.277	70.404	93.75	93.147	92.813	7msq
7msq_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_003	94.144	89.148	89.017	74.29	93.47	92.667	93.701	7msq
7msq_unrelaxed_rank_013_alphafold2_multimer_v3_model_1_seed_002	93.633	90.781	90.089	69.369	93.377	91.94	91.168	7msq
7msq_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_002	93.88	89.204	89.813	70.059	93.363	93.56	93.882	7msq
7msq_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_003	93.731	88.384	87.277	69.395	92.837	92.813	92.633	7msq
7msq_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_001	93.412	88.148	86.981	65.869	93.47	92.44	92.432	7msq
7msq_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_001	93.867	90.631	90.249	70.865	94.075	93.73	93.374	7msq
7msq_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_002	93.427	89.78	89.651	69.365	92.97	91.753	90.778	7msq
